Creator,Series ,Video No,Game No ,Opponent Name,Seconds,Minutes,Time Hours,ELO
Naroditsky,DYI,1,1,leoyago,42,4,0,
Naroditsky,DYI,1,2,raminpapi,10,14,0,
Naroditsky,DYI,1,3,lineage666,53,20,0,
Naroditsky,DYI,2,4,CH_1973,34,2,0,
Naroditsky,DYI,2,5,shemmergod,20,18,0,
Naroditsky,DYI,2,6,Hey_salomao,50,32,0,
Naroditsky,DYI,3,7,Junior437x,54,2,0,
Naroditsky,DYI,3,8,Kuroi_Mana,57,30,0,
Naroditsky,DYI,4,9,Chesskiller2416,52,0,0,
Naroditsky,DYI,5,10,crackeduelwield,12,0,0,
Naroditsky,DYI,5,11,Smorodina777,28,11,0,
Naroditsky,DYI,6,12,Artem-frn,22,0,0,
Naroditsky,DYI,6,13,Sukriller,15,16,0,
Naroditsky,DYI,6,14,Kalyan123593,30,30,0,
Naroditsky,DYI,7,15,Teriyaki-2000,37,0,0,
Naroditsky,DYI,7,16,Simba2022S,5,17,0,
Naroditsky,DYI,8,17,erenylmaz27,18,0,0,
Naroditsky,DYI,8,18,Maghsoud_1989,17,22,0,
Naroditsky,DYI,8,19,Pickle57,15,38,0,
Naroditsky,DYI,9,20,Edisonedisonedi,43,0,0,
Naroditsky,DYI,9,21,carlitos123w,45,29,0,
Naroditsky,DYI,9,22,Raulbarrosb,20,50,0,
Naroditsky,DYI,10,23,HellUsher,16,0,0,
Naroditsky,DYI,10,24,FSGLP,45,29,0,
Naroditsky,DYI,11,25,airwreckchow,11,1,0,
Naroditsky,DYI,11,26,Noname256473,30,18,0,
Naroditsky,DYI,11,27,dpjs,58,42,0,
Naroditsky,DYI,12,28,Scotty19731010,44,0,0,
Naroditsky,DYI,12,29,Brick-Frog,0,20,0,
Naroditsky,DYI,12,30,Tsotneuss,55,49,0,
Naroditsky,DYI,13,31,aryaniswaytoocool,44,0,0,
Naroditsky,DYI,13,32,professor1179,10,21,0,
Naroditsky,DYI,14,33,JohriyJ,27,0,0,
Naroditsky,DYI,14,34,17maestro17,10,20,0,
Naroditsky,DYI,15,35,itsvaibhavpawar,15,0,0,
Naroditsky,DYI,15,36,Nava9999,7,19,0,
Naroditsky,DYI,15,37,krupnov,15,28,0,
Naroditsky,DYI,16,38,Lucho041978,25,0,0,
Naroditsky,DYI,16,39,Mahesh0412,30,17,0,
Naroditsky,DYI,17,40,MGeka,13,0,0,
Naroditsky,DYI,17,41,angelocsan,4,18,0,
Naroditsky,DYI,18,42,sandipbhattu,32,0,0,
Naroditsky,DYI,18,43,carlyahnig,38,16,0,
Naroditsky,DYI,18,44,camilomartinez218,42,42,0,
Naroditsky,DYI,18,45,Wanderflux,5,56,0,
Naroditsky,DYI,19,46,DrNoTime,29,0,0,
Naroditsky,DYI,19,47,x-8594754502,35,8,0,
Naroditsky,DYI,19,48,viejoZorro1,15,36,0,
Naroditsky,DYI,19,49,nick_muller,50,45,0,
Naroditsky,DYI,20,50,searman,11,0,0,
Naroditsky,DYI,20,51,13Torress,11,14,0,
Naroditsky,DYI,20,52,tompoulovic,5,23,0,
Naroditsky,DYI,20,53,chessplayer12637,20,30,0,
Naroditsky,DYI,21,54,fikri1982,40,0,0,
Naroditsky,DYI,21,55,Toftof71,18,30,0,
Naroditsky,DYI,22,56,bajhenet,30,0,0,
Naroditsky,DYI,22,57,PascuVasile76,45,24,0,
Naroditsky,DYI,22,58,Patpresidente,15,3,1,
Naroditsky,DYI,23,59,VladimirVand,35,0,0,
Naroditsky,DYI,23,60,LjS61,17,18,0,
Naroditsky,DYI,23,61,gustav_gans,40,31,0,
Naroditsky,DYI,24,62,Luciano_Aromi,35,0,0,
Naroditsky,DYI,24,63,AVZ-32,10,39,0,
Naroditsky,DYI,25,64,xceptn,31,0,0,
Naroditsky,DYI,25,65,hrachmakaryan54,0,26,0,
Naroditsky,DYI,25,66,VyanivV,50,40,0,
Naroditsky,DYI,26,67,a-suf,30,0,0,
Naroditsky,DYI,26,68,akimsri,20,13,0,
Naroditsky,DYI,26,69,noynoyc1729,30,23,0,
Naroditsky,DYI,27,70,Aadhivee,30,1,0,
Naroditsky,DYI,27,71,naser444410,34,14,0,
Naroditsky,DYI,28,72,RubenO167,40,0,0,
Naroditsky,DYI,28,73,Somaniac123,10,22,0,
Naroditsky,DYI,28,74,Patryq728,55,35,0,
Naroditsky,DYI,28,75,lasfeld,45,53,0,
Naroditsky,DYI,29,76,Bajo22PD,0,1,0,
Naroditsky,DYI,29,77,Zoomington,52,16,0,
Naroditsky,DYI,29,78,ChacNoris,41,38,0,
Naroditsky,DYI,29,79,JohnW76,0,48,0,
Naroditsky,DYI,30,80,Alexander7473,5,1,0,
Naroditsky,DYI,30,81,Knight373728,40,18,0,
Naroditsky,DYI,30,82,PatrickNixon,41,42,0,
Naroditsky,DYI,31,83,mamawQ99,9,0,0,
Naroditsky,DYI,31,84,xperox,14,19,0,
Naroditsky,DYI,31,85,Lionheart456,47,46,0,
Naroditsky,DYI,32,86,mindarteron,34,0,0,
Naroditsky,DYI,32,87,TMAYN,15,28,0,
Naroditsky,DYI,33,88,OlgaNikc,26,0,0,
Naroditsky,DYI,33,89,CamTrujillo,0,10,0,
Naroditsky,DYI,33,90,salainyinyilwin,30,27,0,
Naroditsky,DYI,34,91,katsu_sbs,33,0,0,
Naroditsky,DYI,34,92,masterschristopher,7,31,0,
Naroditsky,DYI,35,93,Naha11,26,0,0,
Naroditsky,DYI,35,94,thejewmamba,23,26,0,
Naroditsky,DYI,36,95,alexsag,25,0,0,
Naroditsky,DYI,36,96,Ambongolan,56,29,0,
Naroditsky,DYI,37,97,BTHill87,20,0,0,
Naroditsky,DYI,37,98,incel28,50,26,0,
Naroditsky,DYI,37,99,VETERANO59,53,43,0,
Naroditsky,DYI,38,100,IdrithUthman,30,0,0,
Naroditsky,DYI,38,101,kiranalvares,9,22,0,
Naroditsky,DYI,39,102,f4_akp,30,1,0,
Naroditsky,DYI,39,103,trava_tanordaski,30,23,0,
Naroditsky,DYI,39,104,peezzo,40,31,0,
Naroditsky,DYI,40,105,paul1471,0,1,0,
Naroditsky,DYI,40,106,albertruco13,20,44,0,
