Creator,Series ,Video No,Game No ,Opponent Name,Time Hours,Minutes,Seconds,ELO,Notes
Naroditsky,Back to 3000,1,1,7622ma,0,0,16,,Different name
Naroditsky,Back to 3000,2,2,louisjcbs,0,0,7,,Different name
Naroditsky,Back to 3000,3,3,Anti2633,0,0,7,,
Naroditsky,Back to 3000,4,4,Msameh14,0,0,7,,
Naroditsky,Back to 3000,4,5,niconespo,0,13,17,,
Naroditsky,Back to 3000,5,6,omarateffff,0,0,12,,
Naroditsky,Back to 3000,5,7,Soggybreadissad,0,17,18,,
Naroditsky,Back to 3000,6,8,slowmind9,0,0,7,,
Naroditsky,Back to 3000,7,9,Light1993,0,0,35,,
Naroditsky,Back to 3000,7,10,nedcamps,0,16,27,, 
Naroditsky,Back to 3000,8,11,jhondrvelasquez,0,0,7,,
Naroditsky,Back to 3000,8,12,ArtsakhStrong,0,17,55,,
Naroditsky,Back to 3000,8,13,nishantmundas,0,32,28,,
Naroditsky,Back to 3000,9,14,Sumit2099,0,1,16,,
Naroditsky,Back to 3000,9,15,Reza031,0,7,24,,
Naroditsky,Back to 3000,9,16,BEREHBOH,0,12,12,,
Naroditsky,Back to 3000,10,17,Sanchos00,0,1,51,,
Naroditsky,Back to 3000,10,18,Kashif783,0,7,50,,
Naroditsky,Back to 3000,10,19,Mmatej71,0,12,31,,
Naroditsky,Back to 3000,11,20,Sah98761234,0,0,57,,Different name
Naroditsky,Back to 3000,11,21,SlaZh9,0,9,8,,
Naroditsky,Back to 3000,11,22,alberto74r,0,16,40,,
Naroditsky,Back to 3000,12,23,paeo1,0,0,17,,
Naroditsky,Back to 3000,12,24,nolaxe,0,3,40,,
Naroditsky,Back to 3000,12,25,swapon570,0,8,50,,
Naroditsky,Back to 3000,13,26,dembaba21,0,0,14,,
Naroditsky,Back to 3000,13,27,renatorecebas,0,10,7,,
Naroditsky,Back to 3000,14,28,ctdcunha,0,0,31,,
Naroditsky,Back to 3000,14,29,german0400,0,6,49,,
Naroditsky,Back to 3000,14,30,sirota9,0,14,7,,
Naroditsky,Back to 3000,15,31,martin_chodur,0,1,16,,
Naroditsky,Back to 3000,15,32,astha0,0,6,44,,
Naroditsky,Back to 3000,15,33,grend25,0,8,50,,
Naroditsky,Back to 3000,15,34,vladiros,0,15,54,,
Naroditsky,Back to 3000,15,35,hmhk2020,0,28,59,,
Naroditsky,Back to 3000,16,36,xstof50,0,0,18,,
Naroditsky,Back to 3000,16,37,zizcar,0,10,45,,
Naroditsky,Back to 3000,16,38,Yera84,0,19,15,,
Naroditsky,Back to 3000,17,39,Q262626w,0,0,7,,
Naroditsky,Back to 3000,17,40,ishaqvkmade,0,13,8,,
Naroditsky,Back to 3000,17,41,HelioBacha,0,17,3,,
Naroditsky,Back to 3000,18,42,richardoha,0,0,53,,
Naroditsky,Back to 3000,18,43,MrMisterPink,0,8,41,,
Naroditsky,Back to 3000,18,44,shapiro132_Leo,0,19,30,,
Naroditsky,Back to 3000,19,45,jeck75,0,0,7,,
Naroditsky,Back to 3000,19,46,Lexman18,0,13,16,,
