Creator,Series ,Video No,Game No ,Opponent Name,Seconds,Minutes,Time Hours,ELO,Notes
Naroditsky,The Sensei Speedrun,1,1,marycp,28,0,0,,
Naroditsky,The Sensei Speedrun,2,2,RookGang69,30,0,0,,
Naroditsky,The Sensei Speedrun,3,3,Joecamarillo,7,1,0,,
Naroditsky,The Sensei Speedrun,4,4,Bizcreeper,21,0,0,,
Naroditsky,The Sensei Speedrun,5,5,Paulo271966,17,0,0,,
Naroditsky,The Sensei Speedrun,6,6,DiegoRojas34,19,0,0,,
Naroditsky,The Sensei Speedrun,7,7,Gurkiraatt,24,0,0,,
Naroditsky,The Sensei Speedrun,8,8,EddGammer018,10,0,0,,
Naroditsky,The Sensei Speedrun,9,9,fastmxney,31,0,0,,
Naroditsky,The Sensei Speedrun,10,10,Mortalit,7,0,0,,
Naroditsky,The Sensei Speedrun,11,11,Alibella,8,0,0,,
Naroditsky,The Sensei Speedrun,11,12,alberto89789,43,11,0,,
Naroditsky,The Sensei Speedrun,12,13,b2sy,8,0,0,,
Naroditsky,The Sensei Speedrun,13,14,Xoimo,7,0,0,,
Naroditsky,The Sensei Speedrun,14,15,drwhoopass,8,0,0,,
Naroditsky,The Sensei Speedrun,15,16,amamsupii,42,0,0,,
Naroditsky,The Sensei Speedrun,16,17,Said4ik_86,9,0,0,,
Naroditsky,The Sensei Speedrun,17,18,KnightOwl_333,16,0,0,,
Naroditsky,The Sensei Speedrun,18,19,Kingslayer996,17,0,0,,
Naroditsky,The Sensei Speedrun,19,20,bayanzul1179,7,0,0,,
Naroditsky,The Sensei Speedrun,20,21,mitsals,3,1,0,,
Naroditsky,The Sensei Speedrun,20,22,serg_jn,16,3,0,,
Naroditsky,The Sensei Speedrun,21,23,Minu6630,0,0,0,,
Naroditsky,The Sensei Speedrun,22,24,Mihailangelo,17,0,0,,
Naroditsky,The Sensei Speedrun,23,25,shafihossain,7,0,0,,
Naroditsky,The Sensei Speedrun,24,26,NickChen925,8,0,0,,
Naroditsky,The Sensei Speedrun,25,27,redijedi808,37,1,0,,
Naroditsky,The Sensei Speedrun,26,28,wahyudihendra1989,8,0,0,,
Naroditsky,The Sensei Speedrun,27,29,jiefury_salebu,10,0,0,,
Naroditsky,The Sensei Speedrun,28,30,AGR1960,28,0,0,,
Naroditsky,The Sensei Speedrun,29,31,amit-saha,9,0,0,,
Naroditsky,The Sensei Speedrun,30,32,jasonakay,54,0,0,,
Naroditsky,The Sensei Speedrun,31,33,vladygama,17,0,0,,
Naroditsky,The Sensei Speedrun,32,34,ftatavartysarmav,7,0,0,,
Naroditsky,The Sensei Speedrun,33,35,MohammadAlbalushi,9,0,0,,
Naroditsky,The Sensei Speedrun,34,36,nidal123,11,0,0,,
Naroditsky,The Sensei Speedrun,35,37,corenn,42,0,0,,
Naroditsky,The Sensei Speedrun,36,38,hemantdce,9,0,0,,
Naroditsky,The Sensei Speedrun,37,39,5521Rajrohan,9,0,0,,
Naroditsky,The Sensei Speedrun,38,40,Manjary,9,0,0,,
Naroditsky,The Sensei Speedrun,39,41,elpucho,9,0,0,,
Naroditsky,The Sensei Speedrun,40,42,sasankasekharhaldar,9,0,0,,
Naroditsky,The Sensei Speedrun,41,43,Fuad3311,9,0,0,,
Naroditsky,The Sensei Speedrun,42,44,RealHelFyre,24,0,0,,
Naroditsky,The Sensei Speedrun,43,45,krok4krok,8,0,0,,
Naroditsky,The Sensei Speedrun,44,46,sheshasayanamg,10,0,0,,
Naroditsky,The Sensei Speedrun,45,47,Saqibawan112,18,0,0,,
Naroditsky,The Sensei Speedrun,46,48,kmagejo,8,0,0,,
Naroditsky,The Sensei Speedrun,47,49,nariog4,8,0,0,,
Naroditsky,The Sensei Speedrun,48,50,Nom_Ntxais2,8,0,0,,
Naroditsky,The Sensei Speedrun,48,51,AZ_Zeka,39,5,0,,
Naroditsky,The Sensei Speedrun,49,52,DANPREO,8,0,0,,
Naroditsky,The Sensei Speedrun,50,53,lagbaaja,8,0,0,,
Naroditsky,The Sensei Speedrun,51,54,bigbalu,8,0,0,,
Naroditsky,The Sensei Speedrun,52,55,TrippleThreat01,10,0,0,,
Naroditsky,The Sensei Speedrun,53,56,hillbillyjoe42,9,0,0,,
Naroditsky,The Sensei Speedrun,54,57,The_Rockdok,8,0,0,,
Naroditsky,The Sensei Speedrun,55,58,Balzdeep802,8,0,0,,
Naroditsky,The Sensei Speedrun,56,59,TheKingEnigma,8,0,0,,
Naroditsky,The Sensei Speedrun,57,60,krasnodarc,8,0,0,,
Naroditsky,The Sensei Speedrun,58,61,rsuryaprasad,45,0,0,,
Naroditsky,The Sensei Speedrun,58,62,Reg9999,5,8,0,,
Naroditsky,The Sensei Speedrun,59,63,AtaMici,8,0,0,,
Naroditsky,The Sensei Speedrun,60,64,pippopluto1,8,0,0,,
Naroditsky,The Sensei Speedrun,61,65,chessforfun2013,22,0,0,,
Naroditsky,The Sensei Speedrun,62,66,sujit_kc,8,0,0,,
Naroditsky,The Sensei Speedrun,63,67,mekston,55,0,0,,
Naroditsky,The Sensei Speedrun,64,68,Gromsen,10,0,0,,
Naroditsky,The Sensei Speedrun,65,69,Hendi909,8,0,0,,
Naroditsky,The Sensei Speedrun,66,70,OZRENAC65,8,0,0,,
Naroditsky,The Sensei Speedrun,67,71,BloodLatte,8,0,0,,
Naroditsky,The Sensei Speedrun,68,72,siddhant8808,8,0,0,,
Naroditsky,The Sensei Speedrun,69,73,donalirio3,8,0,0,,
Naroditsky,The Sensei Speedrun,70,74,ValeriyGL,8,0,0,,
Naroditsky,The Sensei Speedrun,71,75,menacingbsut,8,0,0,,
Naroditsky,The Sensei Speedrun,72,76,CuriousChimpanzee,8,0,0,,
Naroditsky,The Sensei Speedrun,73,77,noynoy17,15,0,0,,
Naroditsky,The Sensei Speedrun,74,78,GUSVL750,8,0,0,,
Naroditsky,The Sensei Speedrun,75,79,omegachilling,8,0,0,,
Naroditsky,The Sensei Speedrun,76,80,maksimilijan0104,21,0,0,,
Naroditsky,The Sensei Speedrun,77,81,np2019,8,0,0,,
Naroditsky,The Sensei Speedrun,78,82,Gabbo0069,24,0,0,,
Naroditsky,The Sensei Speedrun,79,83,setia_vista,8,0,0,,
Naroditsky,The Sensei Speedrun,80,84,Pilgrim2020,8,0,0,,
Naroditsky,The Sensei Speedrun,81,85,Magnushek,32,0,0,,
Naroditsky,The Sensei Speedrun,82,86,Ravennor,8,0,0,,
Naroditsky,The Sensei Speedrun,83,87,TheGod-tactic,8,0,0,,
Naroditsky,The Sensei Speedrun,84,88,r4j16,8,0,0,,
Naroditsky,The Sensei Speedrun,85,89,lumanto,8,0,0,,
Naroditsky,The Sensei Speedrun,86,90,bprs,8,0,0,,
Naroditsky,The Sensei Speedrun,87,91,,0,0,0,,No game 
Naroditsky,The Sensei Speedrun,88,92,abbas56,8,0,0,,
Naroditsky,The Sensei Speedrun,88,93,frad,15,10,0,,
Naroditsky,The Sensei Speedrun,89,94,pepidp1,8,0,0,,
Naroditsky,The Sensei Speedrun,90,95,april1973,8,0,0,,
Naroditsky,The Sensei Speedrun,91,96,wxxdj,8,0,0,,
Naroditsky,The Sensei Speedrun,92,97,jordan1900,8,0,0,,
Naroditsky,The Sensei Speedrun,93,98,intangiblestate,8,0,0,,
Naroditsky,The Sensei Speedrun,94,99,chessbit64,8,0,0,2147,
Naroditsky,The Sensei Speedrun,95,100,SASITOKU,8,0,0,,
Naroditsky,The Sensei Speedrun,96,101,MG1964,8,0,0,,
Naroditsky,The Sensei Speedrun,97,102,M_arina716,8,0,0,,
Naroditsky,The Sensei Speedrun,98,103,liuhaotong,8,0,0,,
Naroditsky,The Sensei Speedrun,99,104,sultan7491,10,0,0,,
Naroditsky,The Sensei Speedrun,100,105,noxious_ez,23,0,0,,
Naroditsky,The Sensei Speedrun,101,106,Friend_of_Horse,8,0,0,,
Naroditsky,The Sensei Speedrun,102,107,istrebitelsputnik,8,0,0,,
Naroditsky,The Sensei Speedrun,103,108,playerperson20,1,1,0,,
Naroditsky,The Sensei Speedrun,104,109,KlnG_0F_The_CHESS_K1nGs,8,0,0,,
Naroditsky,The Sensei Speedrun,105,110,Akinsane0816,8,0,0,,
Naroditsky,The Sensei Speedrun,106,111,ACAT_1,8,0,0,,
Naroditsky,The Sensei Speedrun,107,112,szachciciel,30,0,0,,
Naroditsky,The Sensei Speedrun,108,113,Helouko,10,0,0,,
Naroditsky,The Sensei Speedrun,109,114,batist54,10,0,0,,
Naroditsky,The Sensei Speedrun,110,115,akaky1974,8,0,0,,
Naroditsky,The Sensei Speedrun,111,116,MrKooshaChess_Twitch,8,0,0,,
Naroditsky,The Sensei Speedrun,112,117,pipinyourpampers,10,0,0,,
Naroditsky,The Sensei Speedrun,113,118,flaggerchess,50,0,0,,
Naroditsky,The Sensei Speedrun,114,119,christopher171,10,0,0,,
