Creator,Series ,Video No,Game No ,Opponent Name,Seconds,Minutes,Time Hours,ELO,Notes
Naroditsky,Top Theory,1,1,rockyMcmarley,10,0,0,,
Naroditsky,Top Theory,2,2,shivamchauhan2,30,0,0,,
Naroditsky,Top Theory,2,3,hansheytens,30,13,0,,
Naroditsky,Top Theory,3,4,Alon_arttk,40,0,0,,
Naroditsky,Top Theory,4,5,waudo,20,0,0,,
Naroditsky,Top Theory,5,6,Eagle_w012,10,0,0,,
Naroditsky,Top Theory,6,7,apyramids,45,0,0,,
Naroditsky,Top Theory,7,8,dispensable,40,0,0,,
Naroditsky,Top Theory,8,9,silvestroe2002,35,0,0,,
Naroditsky,Top Theory,9,10,nubpiyu,40,0,0,,
Naroditsky,Top Theory,10,11,OcdtBrousseau,15,0,0,,
Naroditsky,Top Theory,11,12,Chico,40,1,0,,
Naroditsky,Top Theory,12,13,MeganorSwe,35,0,0,,
Naroditsky,Top Theory,13,14,ZachFrs,11,0,0,,
Naroditsky,Top Theory,14,15,Singulark,35,0,0,,
Naroditsky,Top Theory,15,16,TOMO1216,10,0,0,1403,
Naroditsky,Top Theory,16,17,CM2029,30,0,0,,
Naroditsky,Top Theory,17,18,majidvs,10,0,0,,
Naroditsky,Top Theory,18,19,AnnekeO,22,0,0,,
Naroditsky,Top Theory,19,20,RadioGalaxy,27,0,0,,
Naroditsky,Top Theory,20,21,ndhananj,4,1,0,,
Naroditsky,Top Theory,21,22,poulinorreasmindrup,45,0,0,,
Naroditsky,Top Theory,22,23,StanislavP1983,10,0,0,,
Naroditsky,Top Theory,23,24,77Marian77,35,0,0,,
Naroditsky,Top Theory,24,25,3LoveIsInTheAir3,10,0,0,1603,
Naroditsky,Top Theory,25,26,a_quiet_life,15,0,0,,
Naroditsky,Top Theory,26,27,recepertan,0,2,0,,
Naroditsky,Top Theory,27,28,cavus2,20,0,0,,
Naroditsky,Top Theory,28,29,Aioi,20,0,0,,
Naroditsky,Top Theory,29,30,EvenGood,15,0,0,,
Naroditsky,Top Theory,30,31,anita1kakkar,25,0,0,,
Naroditsky,Top Theory,31,32,evelavastida,35,0,0,,
Naroditsky,Top Theory,32,33,LukeC24,20,0,0,,
Naroditsky,Top Theory,33,34,kadeljul42,18,0,0,1750,
Naroditsky,Top Theory,34,35,kadeljul42,50,1,0,1762,
Naroditsky,Top Theory,35,36,berryapplepie,20,0,0,,
Naroditsky,Top Theory,36,37,Parthichess1,10,0,0,,
Naroditsky,Top Theory,37,38,Pavlov_AM,3,3,0,,
Naroditsky,Top Theory,38,39,jack65894,23,0,0,,
Naroditsky,Top Theory,39,40,cosmicki,26,0,0,,
Naroditsky,Top Theory,40,41,FBGDFF,13,0,0,1859,
Naroditsky,Top Theory,41,42,4thMurad,26,0,0,,
Naroditsky,Top Theory,42,43,CraeZ,55,0,0,1889,
Naroditsky,Top Theory,43,44,FBGDFF,40,0,0,1900,
Naroditsky,Top Theory,44,45,bonbardayung,16,0,0,,
Naroditsky,Top Theory,45,46,wengt,5,0,0,1931,
Naroditsky,Top Theory,46,47,halzoun,9,0,0,1946,
Naroditsky,Top Theory,47,48,Dalibor6709,20,0,0,1957,
Naroditsky,Top Theory,48,49,yurinegometyanov,10,0,0,,
Naroditsky,Top Theory,49,50,Dalibor6709,9,0,0,1988,
Naroditsky,Top Theory,50,51,mehrdad1354mehrdad1354,26,0,0,,
Naroditsky,Top Theory,51,52,vortquake,26,0,0,,
Naroditsky,Top Theory,52,53,nikito3001,37,0,0,,
Naroditsky,Top Theory,53,54,Decode,23,0,0,,
Naroditsky,Top Theory,54,55,CuriousChimpanzee,11,0,0,,
Naroditsky,Top Theory,55,56,TableFlippers,11,0,0,,
Naroditsky,Top Theory,56,57,I_am_Prometheus001,15,0,0,2041,
Naroditsky,Top Theory,57,58,SmallFish1998,20,0,0,,
Naroditsky,Top Theory,58,59,D_okoro,34,0,0,2062,
Naroditsky,Top Theory,59,60,Guanyins,34,0,0,,
Naroditsky,Top Theory,60,61,wengt,18,0,0,2086,
Naroditsky,Top Theory,61,62,Zakkamatta,18,0,0,,
Naroditsky,Top Theory,62,63,Cazzeo,35,1,0,,
Naroditsky,Top Theory,63,64,timo224,15,0,0,,
Naroditsky,Top Theory,64,65,WhenindoubtSactheKing,11,0,0,,
Naroditsky,Top Theory,65,66,KlnG_0F_The_CHESS_K1nGs,10,0,0,,
Naroditsky,Top Theory,66,67,Danlm003,10,0,0,2167,
Naroditsky,Top Theory,67,68,Friend_of_Horse,22,0,0,,
Naroditsky,Top Theory,68,69,Danlm003,11,0,0,2204,
Naroditsky,Top Theory,69,70,imbetterthenyou1111-inact,16,0,0,,
Naroditsky,Top Theory,70,71,ShadowedOptimist,11,0,0,,
Naroditsky,Top Theory,71,72,csrix,31,0,0,,
Naroditsky,Top Theory,72,73,The_Chessologist,15,0,0,2239,
Naroditsky,Top Theory,73,74,reshatking,21,0,0,,
Naroditsky,Top Theory,73,75,Defenstrator,45,20,0,,
Naroditsky,Top Theory,74,76,Slomka,13,0,0,,
Naroditsky,Top Theory,75,77,StockfishGaming69,19,0,0,,
Naroditsky,Top Theory,76,78,DoctorBackshotsMD,0,1,0,,
Naroditsky,Top Theory,77,79,radiochess18,14,0,0,,
Naroditsky,Top Theory,78,80,ChessLebaneseSalah,14,0,0,,
Naroditsky,Top Theory,79,81,tjiocharlioe1973,8,0,0,,
Naroditsky,Top Theory,80,82,chessplayer560123,15,0,0,,
Naroditsky,Top Theory,81,83,TournamentGuy007,19,0,0,,
